timestamp,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD
1652137276,159111534.0137587637725909079396253,229657401.9308398695243583461102015,229657401.9308398695243583461102015
1652226490,169945001.0570530304033491207890868,242920212.6714059314535442173385196,242920212.6714059314535442173385196
1652313506,172522808.2417032820811445942608341,240606315.4504663531535685547593479,240606315.4504663531535685547593479
1652399337,138318245.2290391902406352356499494,207446972.5107246874307998355713677,207446972.5107246874307998355713677
1652486070,151270206.9888023390055558306404666,228601847.8832982693698310626124148,228601847.8832982693698310626124148
1652571898,157311543.7604794759840362528801828,237797831.7527188907358864042772444,237797831.7527188907358864042772444
1652658703,163487065.3906801016269023889251008,245343572.3398710660933078079078865,245343572.3398710660933078079078865
1652742041,208858237.002329872373081900510295,289095885.6270316867282618395058292,289095885.6270316867282618395058292
1652831665,212383467.7112423572813898897054156,310043956.6356673184279235198446195,310043956.6356673184279235198446195
1652914767,182113981.6280740048260232199662486,276927547.1022907600572426395743317,276927547.1022907600572426395743317
1653004192,187513316.0315905116825404759037532,283436674.7630708484706411341107534,283436674.7630708484706411341107534
1653087073,184099129.3432993856694544011809782,269582767.6373774933853348676189476,269582767.6373774933853348676189476
1653174185,201784358.6432168791420289047062685,287593754.9512642265000000326148889,287593754.9512642265000000326148889
1653262422,202745403.9412119573108035007559937,292393580.4858379554469619798904956,292393580.4858379554469619798904956
1653339070,200562233.8995279912858213789817949,288784306.1740829338504579131085998,288784306.1740829338504579131085998
1653427180,199585198.9554778106860229877129032,287362361.4186238497102523755027849,287362361.4186238497102523755027849
1653516975,218848482.7077681059949282156616171,311965130.5374274868286575002020043,311965130.5374274868286575002020043
1653608391,193117318.9285572400174503714513398,276539254.5217862083364378900542225,276539254.5217862083364378900542225
1653695109,189407380.1363094378329586174578276,270161878.05669152509861778957769,270161878.05669152509861778957769
1653782247,195979226.6676922101189571962733127,279512602.7701389920698870429987043,279512602.7701389920698870429987043
1653868326,196721906.9780525639651719657485802,280785376.0834390569961200422105424,280785376.0834390569961200422105424
1653948855,202136671.4748020304352568794257493,292126812.8157479011012740172901445,292126812.8157479011012740172901445
1654040379,198986498.722458151965202251800565,290666641.8003388008916082946166705,290666641.8003388008916082946166705
1654126260,197127768.4975145892015925975853842,285178981.8819873398845986399808312,285178981.8819873398845986399808312
1654213378,196691315.5048561375438180460843701,287377885.068579417473350984471706,287377885.068579417473350984471706
1654299034,204708956.8944409731519822985269895,292755915.8330165297054435342418775,292755915.8330165297054435342418775
1654386994,221648605.0947381120284975209391349,312619920.3808409170856150525740617,312619920.3808409170856150525740617
1654468129,238605980.2052987327388961280964649,456276375.0147481873555992384437021,456276375.0147481873555992384437021
1654558866,226573467.2138244430556078820796632,449149681.5736482280531635232641291,449149681.5736482280531635232641291
1654636874,228784617.455229330016490014065071,451484897.0489536418867610518795366,451484897.0489536418867610518795366
1654731216,343828933.4363466273829884551960866,600129177.2965223860243279199978718,600129177.2965223860243279199978718
1654818671,331841571.8851029750752392014344992,596012226.6946257192406192426931491,596012226.6946257192406192426931491
1654905325,353059316.2924700648481916337634971,617210729.4892646503235106247677239,617210729.4892646503235106247677239
1654991607,323658689.5475202855705192385781658,587295895.9162995843980614215503065,587295895.9162995843980614215503065
1655078177,318279025.2059121386276990846241715,574043499.7858772271529210630460502,574043499.7858772271529210630460502
1655163917,273311586.4121309904843452509364497,499563641.9650310207163146267775539,499563641.9650310207163146267775539
1655250536,273491365.9511133415368010194658474,503022965.8723923147560721002360209,503022965.8723923147560721002360209
1655336632,263326786.5446120807693945666426622,491607647.0835775936714905114162799,491607647.0835775936714905114162799
